"","Row.names","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","SG15","SG93","SG102","SG2","SG10","SG9","SG118","SG81","SG5","SG101","SG65","SG107","SG109","SG3","SG66","SG12","SG27","SG6","SG91","SG82","SG11","SG16","SG131","SG79","SG1","SG64","SG4","SG13","SG14","SG46","SG108","SG78","SG7","SG80","SG8","up","down"
"327","PGEN_.00g212030",31.7264286034769,1.82236368110709,0.570704562283298,3.19318225495886,0.00140714103613542,0.0380428248371303,27,31,18,44,37,50,30,18,21,70,42,31,32,24,61,34,28,9,40,31,37,30,26,29,31,63,27,17,26,35,18,24,40,27,21,TRUE,FALSE
"328","PGEN_.00g308130",39.1437900730063,3.10498651312838,0.865874212318408,3.58595563761469,0.00033584605315102,0.0162358797474576,23,30,10,48,106,74,44,19,13,39,70,47,43,12,24,61,11,23,41,27,93,72,11,30,22,18,23,13,26,75,29,19,111,25,82,TRUE,FALSE
"329","PGEN_.00g305410",21.906168237264,5.03716212710085,1.52690075635207,3.29894533495102,0.000970488080891729,0.0303997798532544,6,18,1,22,21,39,15,9,3,5,14,12,6,4,8,32,34,5,13,4,152,7,2,9,29,4,15,4,8,9,10,6,149,5,21,TRUE,FALSE
"330","PGEN_.00g152150",54.9636585335469,5.05092642397694,1.23629884543136,4.08552223650634,4.39777883014934e-05,0.00460314299753888,13,58,3,89,171,98,113,38,16,33,85,45,19,13,23,189,35,24,24,20,83,13,4,20,78,8,30,7,23,90,21,50,293,6,149,TRUE,FALSE
"331","PGEN_.00g112860",19.6839367451184,-5.06489364554587,1.39262094596243,-3.63695064348293,0.000275884769556978,0.0144715917693616,1,14,9,10,6,3,4,6,74,6,5,7,55,18,14,7,32,96,0,6,21,34,9,3,20,16,8,49,6,12,24,8,5,30,4,FALSE,TRUE
"332","PGEN_.00g296350",15.2049099114498,-2.06854408571661,0.643597405647841,-3.21403422009512,0.00130884073797225,0.0365376630649756,11,17,11,11,6,7,22,29,31,5,6,16,15,11,26,20,9,39,13,19,11,20,23,13,9,18,16,8,13,5,19,21,14,15,13,FALSE,TRUE
"333","PGEN_.00g286010",7.80554521673614,-2.90046367342887,0.928527363103911,-3.1237245004101,0.0017857757596657,0.0442826324634266,6,5,5,10,3,2,8,8,11,5,3,4,15,13,5,4,3,16,2,7,4,8,22,20,4,10,13,8,8,0,10,4,2,20,7,FALSE,TRUE
"334","PGEN_.00g291220",33.419031052837,-5.58360319679972,1.5323667090277,-3.64377740909195,0.000268665790043222,0.0144585282952977,9,8,3,11,5,9,11,4,23,31,7,6,9,32,22,6,23,136,4,15,4,24,30,7,14,13,4,400,5,3,7,6,4,32,6,FALSE,TRUE
"335","PGEN_.00g174890",44.5090029258348,4.24612661748598,1.24656697048117,3.40625631677614,0.000658603151936326,0.0230490900627041,6,57,12,97,29,97,29,19,9,19,49,61,39,4,26,81,42,9,43,15,185,31,6,32,94,10,31,6,40,56,22,11,198,18,52,TRUE,FALSE
"336","PGEN_.00g210620",35.5178287713879,-1.83351493497026,0.554169238724704,-3.30858302274172,0.000937693783251825,0.0296347600363437,25,43,36,47,28,40,25,42,78,27,33,51,48,15,19,37,40,58,28,33,25,27,35,33,26,29,34,37,53,19,32,27,22,51,43,FALSE,TRUE
