"","Row.names","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","SG25","SG60","SG90","SG128","SG89","SG40","SG43","SG44","SG77","SG19","SG57","SG20","SG62","SG41","SG21","SG129","SG61","SG45","SG58","SG26","SG22","SG140","SG63","SG100","SG17","SG138","SG59","SG42","SG139","SG99","SG130","SG24","SG18","SG127","SG23","SG39","up","down"
"19","PGEN_.00g027970",64.0939588401,3.3273897389607,0.760663297359082,4.37432665742246,1.21807867658759e-05,0.00500546330651529,73,122,55,71,62,78,28,39,80,83,128,158,12,53,29,101,38,58,103,49,47,11,44,49,54,84,33,37,64,182,15,22,141,60,12,72,TRUE,FALSE
"20","PGEN_.00g238430",196.819420379981,-1.03978160621539,0.293853417607051,-3.53843632203663,0.000402504350629407,0.0456823271090537,302,229,240,139,240,240,277,260,283,165,224,172,199,189,67,126,330,218,181,229,109,237,239,140,258,171,56,171,249,229,226,382,172,223,238,138,FALSE,TRUE
"21","PGEN_.00g092270",97.9162567597687,-6.07250865590374,1.0429585433843,-5.82238737524411,5.80128927198977e-09,9.87628060775745e-06,232,185,52,54,32,27,109,334,56,10,30,57,365,49,36,12,87,199,18,89,38,50,73,72,48,7,226,287,60,27,126,79,36,21,120,85,FALSE,TRUE
"22","PGEN_.00g098060",9.88808906872273,-3.56272194323631,0.946852735368008,-3.76269910848555,0.000168089389245817,0.028212975375245,8,12,2,3,5,1,12,36,21,7,3,13,7,8,1,2,8,16,5,4,5,11,17,3,17,2,18,19,14,7,17,19,16,3,12,10,FALSE,TRUE
"23","PGEN_.00g169480",35.8358274358065,3.5034660437272,0.872590629133374,4.01501680943642,5.94415582087475e-05,0.014788031581903,94,36,73,11,113,63,24,29,54,81,90,65,7,29,28,58,12,27,62,41,39,9,12,13,15,29,7,11,20,52,12,9,39,19,1,21,TRUE,FALSE
"24","PGEN_.00g272710",67.7870379392082,2.836530998179,0.798626957216899,3.55175964515887,0.000382664238703357,0.0438481705060375,63,155,74,86,195,115,54,64,117,101,204,99,14,55,24,93,33,48,129,84,52,20,17,40,19,70,42,24,36,101,12,27,98,62,19,37,TRUE,FALSE
"25","PGEN_.00g114780",17.6827327970569,-5.85094724917215,1.26841031341849,-4.61281904386545,3.97244123910299e-06,0.00221119657651495,14,35,97,6,17,10,23,32,6,5,6,14,48,5,4,4,17,26,3,6,11,7,2,7,15,2,65,44,12,2,11,20,7,0,8,7,FALSE,TRUE
"26","PGEN_.00g279100",14.543593470947,4.02814265639032,0.894698351977742,4.50223547130277,6.72424215943309e-06,0.00296788125236904,13,21,13,9,18,13,4,5,26,16,29,21,8,19,7,39,15,7,40,15,23,0,4,11,16,9,5,3,12,35,4,6,18,13,2,22,TRUE,FALSE
"27","PGEN_.00g113250",7.56622870436133,3.73948884315416,1.02099929924328,3.66257728670891,0.000249690384082303,0.0331031275839394,3,12,7,12,23,17,3,11,3,9,17,3,2,10,3,12,5,2,28,9,4,3,6,4,7,6,4,9,3,16,0,4,16,9,2,0,TRUE,FALSE
"28","PGEN_.00g344990",12.9534887101456,4.14385743083641,1.06976990529414,3.87359693923809,0.000107240721175831,0.0214478540637158,14,10,20,9,76,25,5,18,14,17,24,29,4,3,8,25,5,2,27,6,11,2,2,3,7,13,10,10,12,22,0,8,10,6,0,9,TRUE,FALSE
