"","Cgigas_KEGG_IDs","Cgigas_PathwayID","Pathway_Description","Pathway_gene_list","Pathway_gene_count","gene_IDs","Gene_name"
"41","crg:105340582","crg03010","Ribosome","105319797/105340582/105347132/105342397/105332191/105331157/105339837/105325786/105331823/105317113/105342603/105337988/105348141/105335803/105321543/105348361/105347326/105335873/105339104/105321589/105337115/105319021/105317506/105344628/105324073/105338085/105341326/105330130/105348430/105342025/105333469/105325638/105347733/105319573/105347800/105338870/105338606/105338035/105338952/105340032/105344646/105319364/105321315/105318789/105323167",45,"105340582","Rps20; 40S ribosomal protein S20"
"42","crg:105341326","crg03010","Ribosome","105319797/105340582/105347132/105342397/105332191/105331157/105339837/105325786/105331823/105317113/105342603/105337988/105348141/105335803/105321543/105348361/105347326/105335873/105339104/105321589/105337115/105319021/105317506/105344628/105324073/105338085/105341326/105330130/105348430/105342025/105333469/105325638/105347733/105319573/105347800/105338870/105338606/105338035/105338952/105340032/105344646/105319364/105321315/105318789/105323167",45,"105341326","40S ribosomal protein S6-like"
"43","crg:105342025","crg03010","Ribosome","105319797/105340582/105347132/105342397/105332191/105331157/105339837/105325786/105331823/105317113/105342603/105337988/105348141/105335803/105321543/105348361/105347326/105335873/105339104/105321589/105337115/105319021/105317506/105344628/105324073/105338085/105341326/105330130/105348430/105342025/105333469/105325638/105347733/105319573/105347800/105338870/105338606/105338035/105338952/105340032/105344646/105319364/105321315/105318789/105323167",45,"105342025","60S ribosomal protein L8-like isoform X1"
"44","crg:105342397","crg03010","Ribosome","105319797/105340582/105347132/105342397/105332191/105331157/105339837/105325786/105331823/105317113/105342603/105337988/105348141/105335803/105321543/105348361/105347326/105335873/105339104/105321589/105337115/105319021/105317506/105344628/105324073/105338085/105341326/105330130/105348430/105342025/105333469/105325638/105347733/105319573/105347800/105338870/105338606/105338035/105338952/105340032/105344646/105319364/105321315/105318789/105323167",45,"105342397","ubiquitin-40S ribosomal protein S27a"
"45","crg:105342603","crg03010","Ribosome","105319797/105340582/105347132/105342397/105332191/105331157/105339837/105325786/105331823/105317113/105342603/105337988/105348141/105335803/105321543/105348361/105347326/105335873/105339104/105321589/105337115/105319021/105317506/105344628/105324073/105338085/105341326/105330130/105348430/105342025/105333469/105325638/105347733/105319573/105347800/105338870/105338606/105338035/105338952/105340032/105344646/105319364/105321315/105318789/105323167",45,"105342603","60S ribosomal protein L24"
"46","crg:105343349","crg00190","Oxidative phosphorylation","105343349/109618245/105319162/105344113/105347217/105318424/105319312/105328413/105332067/105323421/105338985/105319097/105337089",13,"105343349","ATP synthase subunit delta, mitochondrial"
"47","crg:105344113","crg00190","Oxidative phosphorylation","105343349/109618245/105319162/105344113/105347217/105318424/105319312/105328413/105332067/105323421/105338985/105319097/105337089",13,"105344113","NADH-ubiquinone oxidoreductase subunit 8"
"48","crg:105344628","crg03010","Ribosome","105319797/105340582/105347132/105342397/105332191/105331157/105339837/105325786/105331823/105317113/105342603/105337988/105348141/105335803/105321543/105348361/105347326/105335873/105339104/105321589/105337115/105319021/105317506/105344628/105324073/105338085/105341326/105330130/105348430/105342025/105333469/105325638/105347733/105319573/105347800/105338870/105338606/105338035/105338952/105340032/105344646/105319364/105321315/105318789/105323167",45,"105344628","40S ribosomal protein S16"
"49","crg:105344646","crg03010","Ribosome","105319797/105340582/105347132/105342397/105332191/105331157/105339837/105325786/105331823/105317113/105342603/105337988/105348141/105335803/105321543/105348361/105347326/105335873/105339104/105321589/105337115/105319021/105317506/105344628/105324073/105338085/105341326/105330130/105348430/105342025/105333469/105325638/105347733/105319573/105347800/105338870/105338606/105338035/105338952/105340032/105344646/105319364/105321315/105318789/105323167",45,"105344646","60S ribosomal protein L7"
"50","crg:105347132","crg03010","Ribosome","105319797/105340582/105347132/105342397/105332191/105331157/105339837/105325786/105331823/105317113/105342603/105337988/105348141/105335803/105321543/105348361/105347326/105335873/105339104/105321589/105337115/105319021/105317506/105344628/105324073/105338085/105341326/105330130/105348430/105342025/105333469/105325638/105347733/105319573/105347800/105338870/105338606/105338035/105338952/105340032/105344646/105319364/105321315/105318789/105323167",45,"105347132","ubiquitin"
"51","crg:105347217","crg00190","Oxidative phosphorylation","105343349/109618245/105319162/105344113/105347217/105318424/105319312/105328413/105332067/105323421/105338985/105319097/105337089",13,"105347217","cytochrome c oxidase subunit 4 isoform 1, mitochondrial-like"
"52","crg:105347326","crg03010","Ribosome","105319797/105340582/105347132/105342397/105332191/105331157/105339837/105325786/105331823/105317113/105342603/105337988/105348141/105335803/105321543/105348361/105347326/105335873/105339104/105321589/105337115/105319021/105317506/105344628/105324073/105338085/105341326/105330130/105348430/105342025/105333469/105325638/105347733/105319573/105347800/105338870/105338606/105338035/105338952/105340032/105344646/105319364/105321315/105318789/105323167",45,"105347326","40S ribosomal protein S3a"
"53","crg:105347733","crg03010","Ribosome","105319797/105340582/105347132/105342397/105332191/105331157/105339837/105325786/105331823/105317113/105342603/105337988/105348141/105335803/105321543/105348361/105347326/105335873/105339104/105321589/105337115/105319021/105317506/105344628/105324073/105338085/105341326/105330130/105348430/105342025/105333469/105325638/105347733/105319573/105347800/105338870/105338606/105338035/105338952/105340032/105344646/105319364/105321315/105318789/105323167",45,"105347733","60S ribosomal protein L27"
"54","crg:105347800","crg03010","Ribosome","105319797/105340582/105347132/105342397/105332191/105331157/105339837/105325786/105331823/105317113/105342603/105337988/105348141/105335803/105321543/105348361/105347326/105335873/105339104/105321589/105337115/105319021/105317506/105344628/105324073/105338085/105341326/105330130/105348430/105342025/105333469/105325638/105347733/105319573/105347800/105338870/105338606/105338035/105338952/105340032/105344646/105319364/105321315/105318789/105323167",45,"105347800","40S ribosomal protein S18"
"55","crg:105348141","crg03010","Ribosome","105319797/105340582/105347132/105342397/105332191/105331157/105339837/105325786/105331823/105317113/105342603/105337988/105348141/105335803/105321543/105348361/105347326/105335873/105339104/105321589/105337115/105319021/105317506/105344628/105324073/105338085/105341326/105330130/105348430/105342025/105333469/105325638/105347733/105319573/105347800/105338870/105338606/105338035/105338952/105340032/105344646/105319364/105321315/105318789/105323167",45,"105348141","60S ribosomal protein L44-like"
"56","crg:105348361","crg03010","Ribosome","105319797/105340582/105347132/105342397/105332191/105331157/105339837/105325786/105331823/105317113/105342603/105337988/105348141/105335803/105321543/105348361/105347326/105335873/105339104/105321589/105337115/105319021/105317506/105344628/105324073/105338085/105341326/105330130/105348430/105342025/105333469/105325638/105347733/105319573/105347800/105338870/105338606/105338035/105338952/105340032/105344646/105319364/105321315/105318789/105323167",45,"105348361","60S ribosomal protein L9"
"57","crg:105348430","crg03010","Ribosome","105319797/105340582/105347132/105342397/105332191/105331157/105339837/105325786/105331823/105317113/105342603/105337988/105348141/105335803/105321543/105348361/105347326/105335873/105339104/105321589/105337115/105319021/105317506/105344628/105324073/105338085/105341326/105330130/105348430/105342025/105333469/105325638/105347733/105319573/105347800/105338870/105338606/105338035/105338952/105340032/105344646/105319364/105321315/105318789/105323167",45,"105348430","40S ribosomal protein S23"
"58","crg:109618245","crg00190","Oxidative phosphorylation","105343349/109618245/105319162/105344113/105347217/105318424/105319312/105328413/105332067/105323421/105338985/105319097/105337089",13,"109618245","NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 6-like"
