"","Cgigas_KEGG_IDs","Cgigas_PathwayID","Pathway_Description","Pathway_gene_list","Pathway_gene_count","gene_IDs","Gene_name"
"34","crg:105332143","crg00190","Oxidative phosphorylation","105343349/109618245/105347858/105332143/105319162/105344651/105347217/105318424/105332292/105328413/105340053/105332067/105323421/105338985/105344150/105319097/105326432/105337089/105341248",19,"105332143","succinate dehydrogenase cytochrome b560 subunit, mitochondrial isoform X1"
"35","crg:105332191","crg03010","Ribosome","105319797/105340582/105323810/105347132/105342397/105332191/105331157/105339837/105325786/105331823/105317113/105342603/105324694/105332495/105335803/105327405/105321543/105348361/105347326/105335873/105326418/105339104/105321589/105319021/105317506/105344628/105318421/105347828/105324073/105338085/105347208/105341326/105330130/105320864/105348430/105328421/105342025/105333469/105325638/105347733/105319573/105347800/105338870/105338606/105338035/105330605/105329912/105340032/105344646/105319364/105321315/105318789/105323167",53,"105332191","40S ribosomal protein S2"
"36","crg:105332292","crg00190","Oxidative phosphorylation","105343349/109618245/105347858/105332143/105319162/105344651/105347217/105318424/105332292/105328413/105340053/105332067/105323421/105338985/105344150/105319097/105326432/105337089/105341248",19,"105332292","cytochrome c1, heme protein, mitochondrial"
"37","crg:105332495","crg03010","Ribosome","105319797/105340582/105323810/105347132/105342397/105332191/105331157/105339837/105325786/105331823/105317113/105342603/105324694/105332495/105335803/105327405/105321543/105348361/105347326/105335873/105326418/105339104/105321589/105319021/105317506/105344628/105318421/105347828/105324073/105338085/105347208/105341326/105330130/105320864/105348430/105328421/105342025/105333469/105325638/105347733/105319573/105347800/105338870/105338606/105338035/105330605/105329912/105340032/105344646/105319364/105321315/105318789/105323167",53,"105332495","40S ribosomal protein S4"
"38","crg:105333469","crg03010","Ribosome","105319797/105340582/105323810/105347132/105342397/105332191/105331157/105339837/105325786/105331823/105317113/105342603/105324694/105332495/105335803/105327405/105321543/105348361/105347326/105335873/105326418/105339104/105321589/105319021/105317506/105344628/105318421/105347828/105324073/105338085/105347208/105341326/105330130/105320864/105348430/105328421/105342025/105333469/105325638/105347733/105319573/105347800/105338870/105338606/105338035/105330605/105329912/105340032/105344646/105319364/105321315/105318789/105323167",53,"105333469","60S ribosomal protein L35a"
"39","crg:105335803","crg03010","Ribosome","105319797/105340582/105323810/105347132/105342397/105332191/105331157/105339837/105325786/105331823/105317113/105342603/105324694/105332495/105335803/105327405/105321543/105348361/105347326/105335873/105326418/105339104/105321589/105319021/105317506/105344628/105318421/105347828/105324073/105338085/105347208/105341326/105330130/105320864/105348430/105328421/105342025/105333469/105325638/105347733/105319573/105347800/105338870/105338606/105338035/105330605/105329912/105340032/105344646/105319364/105321315/105318789/105323167",53,"105335803","60S ribosomal protein L13a"
"40","crg:105335873","crg03010","Ribosome","105319797/105340582/105323810/105347132/105342397/105332191/105331157/105339837/105325786/105331823/105317113/105342603/105324694/105332495/105335803/105327405/105321543/105348361/105347326/105335873/105326418/105339104/105321589/105319021/105317506/105344628/105318421/105347828/105324073/105338085/105347208/105341326/105330130/105320864/105348430/105328421/105342025/105333469/105325638/105347733/105319573/105347800/105338870/105338606/105338035/105330605/105329912/105340032/105344646/105319364/105321315/105318789/105323167",53,"105335873","40S ribosomal protein S3"
"41","crg:105337089","crg00190","Oxidative phosphorylation","105343349/109618245/105347858/105332143/105319162/105344651/105347217/105318424/105332292/105328413/105340053/105332067/105323421/105338985/105344150/105319097/105326432/105337089/105341248",19,"105337089","succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial"
"42","crg:105338035","crg03010","Ribosome","105319797/105340582/105323810/105347132/105342397/105332191/105331157/105339837/105325786/105331823/105317113/105342603/105324694/105332495/105335803/105327405/105321543/105348361/105347326/105335873/105326418/105339104/105321589/105319021/105317506/105344628/105318421/105347828/105324073/105338085/105347208/105341326/105330130/105320864/105348430/105328421/105342025/105333469/105325638/105347733/105319573/105347800/105338870/105338606/105338035/105330605/105329912/105340032/105344646/105319364/105321315/105318789/105323167",53,"105338035","60S ribosomal protein L11"
"43","crg:105338085","crg03010","Ribosome","105319797/105340582/105323810/105347132/105342397/105332191/105331157/105339837/105325786/105331823/105317113/105342603/105324694/105332495/105335803/105327405/105321543/105348361/105347326/105335873/105326418/105339104/105321589/105319021/105317506/105344628/105318421/105347828/105324073/105338085/105347208/105341326/105330130/105320864/105348430/105328421/105342025/105333469/105325638/105347733/105319573/105347800/105338870/105338606/105338035/105330605/105329912/105340032/105344646/105319364/105321315/105318789/105323167",53,"105338085","40S ribosomal protein S13"
