"","Row.names","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","SG119","SG86","SG85","SG132","SG75","SG54","SG73","SG47","SG34","SG126","SG68","SG112","SG133","SG52","SG123","SG115","SG122","SG33","SG120","SG111","SG142","SG96","SG113","SG30","SG51","SG83","SG125","SG35","SG84","SG49","SG116","SG136","SG70","SG31","SG121","SG74","SG134","SG56","SG76","SG55","SG48","SG53","SG106","SG104","SG32","SG124","SG29","SG110","SG105","SG72","SG94","SG95","SG135","SG71","SG114","SG69","SG141","SG36","SG67","SG28","SG50","SG103","up","down"
"21","PGEN_.00g130320",60.8882588851498,-11.9128628560389,3.37741106627695,-3.52721733371086,0.000419951899390331,0.0311429903094327,5,11,20,2,36,78,87,0,3,711,7,0,84,55,25,199,6,14,0,3,16,12,26,105,48,20,2,2,6,24,6,3,12,12,13,7,0,14,6,683,12,135,2,0,5,410,138,13,2,10,3,82,0,4,78,12,50,9,12,3,26,162,FALSE,TRUE
"22","PGEN_.00g318520",864.224100023899,-7.09577732109772,1.96225332599489,-3.61613723727546,0.000299031883003126,0.0250503807668853,370,1252,533,832,350,2796,1183,1372,617,2002,727,444,151,2705,1405,1755,875,496,329,452,373,327,515,90,1464,784,365,336,442,718,213,853,359,601,333,404,317,945,402,837,924,1227,113,319,589,6559,78,7,1658,1276,914,33,399,627,579,169,166,941,891,721,1847,17,FALSE,TRUE
"23","PGEN_.00g236660",159.073941260104,10.3066136181238,2.51248061920937,4.1021664164586,4.09299708470596e-05,0.00771473103285342,106,138,242,120,40,29,28,60,7,62,108,70,1074,6,7,52,4,57,17,44,9,31,29,82,11,19,3,74,112,251,36,6,11,62,21,13,137,38,39,286,144,166,38,29,62,646,467,102,19,30,69,3361,47,19,8,54,45,41,22,33,12,641,TRUE,FALSE
"24","PGEN_.00g168590",50.5860861950851,-12.2454564121984,2.10355199927612,-5.82132336943053,5.83834848194118e-09,1.32751242480986e-05,13,55,39,7,15,268,120,16,7,84,11,6,22,64,74,49,19,27,6,16,13,11,24,36,84,55,22,18,8,29,11,17,7,18,21,19,3,43,11,384,11,183,10,7,8,255,49,21,39,40,3,34,4,6,221,45,68,49,24,5,87,45,FALSE,TRUE
"25","PGEN_.00g108630",61.0939451747708,-23.0278460518233,6.51731645004057,-3.5333325040063,0.000410356018781662,0.0308030338337767,0,0,192,0,82,0,97,72,73,101,127,0,131,154,0,0,0,0,0,114,116,119,131,0,0,0,365,0,0,103,114,0,113,0,229,163,0,137,90,0,0,0,146,243,83,131,90,123,0,0,0,0,0,0,181,0,0,328,0,86,0,129,FALSE,TRUE
"26","PGEN_.00g178500",23.8369534974684,7.41611442966417,1.84754816758643,4.01403035643304,5.96906646860715e-05,0.00918994889695307,117,48,14,28,15,12,4,9,11,6,28,34,2,17,3,1,27,6,7,49,13,42,5,5,3,42,18,114,28,19,18,15,7,12,30,15,9,29,12,17,90,23,41,49,98,0,4,17,48,20,12,15,4,68,21,40,11,9,61,15,6,13,TRUE,FALSE
"27","PGEN_.00g048610",53.7870505327889,-2.12964832048908,0.599837813132195,-3.55037357409767,0.000384684851828949,0.0296622620691515,42,65,106,36,56,56,67,40,37,96,58,73,73,50,48,33,52,32,44,53,54,33,51,63,25,38,94,55,51,51,63,54,46,37,64,61,49,96,43,74,46,95,82,37,52,84,38,82,98,42,42,47,49,39,50,54,65,85,28,55,47,46,FALSE,TRUE
"28","PGEN_.00g079020",28.6767762423037,3.06403394269677,0.811870299991647,3.77404364062622,0.000160622644089316,0.018014957875505,33,49,39,46,15,11,36,45,30,11,33,37,66,18,23,15,36,25,35,53,21,35,21,14,3,22,58,39,39,53,24,20,11,32,28,13,28,47,20,18,58,27,38,27,44,38,10,21,21,35,38,48,30,26,24,34,23,39,42,27,32,13,TRUE,FALSE
"29","PGEN_.00g348220",30.7008449259252,6.20675169665155,1.64267352626408,3.7784450759169,0.000157810647972058,0.0178470691969066,49,77,106,49,39,19,15,20,9,1,92,40,53,17,16,2,8,14,27,33,7,18,23,4,4,12,14,23,77,191,27,14,11,54,18,7,90,20,25,12,121,11,44,34,38,71,17,18,17,23,38,106,32,19,12,10,4,28,14,41,11,47,TRUE,FALSE
"30","PGEN_.00g176540",43.6098391424943,-13.5590035546391,2.80732665486079,-4.82986314797467,1.36626920889102e-06,0.000818456382080688,4,21,28,10,8,141,223,5,13,31,10,10,11,70,32,3,3,24,5,6,6,13,26,10,75,64,6,13,2,31,10,6,0,4,21,13,4,9,1,248,4,186,5,0,7,48,37,34,431,11,6,6,0,6,325,43,118,33,14,7,28,27,FALSE,TRUE
"31","PGEN_.00g130720",38.1719879315083,6.19129459170842,1.51556459980422,4.08514067464245,4.40501205789746e-05,0.0078322432654703,66,93,71,89,40,27,48,49,9,7,98,50,71,25,14,7,5,25,15,32,10,19,20,9,6,17,7,41,71,273,55,11,15,46,21,7,109,30,23,35,112,20,34,39,52,81,70,11,18,22,49,99,33,25,26,23,13,48,19,58,16,26,TRUE,FALSE
"32","PGEN_.00g090200",9.62053535713872,3.46004162769654,1.0110933668102,3.42207924735207,0.000621441979728831,0.0401599481280951,21,19,12,6,12,5,11,11,13,2,14,17,13,3,5,3,10,8,7,7,4,14,9,6,3,11,9,15,14,25,9,5,13,9,17,9,9,7,14,9,15,5,13,19,21,4,10,7,4,10,10,7,11,13,7,6,3,14,9,6,13,8,TRUE,FALSE
"33","PGEN_.00g103630",6.89016820706917,6.53198612999619,1.88910417576501,3.45771620951027,0.000544774913549333,0.0376591547022648,15,20,15,12,6,1,4,7,0,0,14,11,8,0,2,0,1,2,12,10,2,7,7,5,2,3,2,10,22,44,3,1,3,8,4,3,7,13,3,12,10,1,14,3,13,4,9,9,9,5,12,25,5,3,7,1,5,2,0,16,2,6,TRUE,FALSE
