"","Gene.ID","SG117","SG137","SG38","SG97","SG88","SG87","SG98","SG37"
"8045","PGEN_.00g240070",12,0,6,12,6,14,8,7
"8046","PGEN_.00g070010",46,36,23,25,53,61,33,46
"8047","PGEN_.00g088560",2,0,6,2,9,8,10,4
"8048","PGEN_.00g208560",3,0,5,2,2,6,3,3
"8049","PGEN_.00g023240",15,16,17,16,11,23,20,22
"8050","PGEN_.00g321880",36,33,15,28,19,36,38,22
"8051","PGEN_.00g054330",171,62,97,105,78,108,113,92
"8052","PGEN_.00g188090",10,4,9,13,6,12,17,13
"8053","PGEN_.00g071940",5,2,6,0,3,2,2,6
"8054","PGEN_.00g283500",12,7,6,5,10,3,8,6
"8055","PGEN_.00g326350",2,4,0,5,0,4,2,5
"8056","PGEN_.00g282670",12,13,9,15,17,8,25,5
"8057","PGEN_.00g096550",0,9,0,5,4,2,4,11
"8058","PGEN_.00g092870",13,11,8,18,14,17,10,17
"8059","PGEN_.00g169770",48,60,47,67,52,74,64,78
"8060","PGEN_.00g132740",2,2,2,6,2,6,2,4
"8061","PGEN_.00g066980",8,9,4,0,6,14,0,6
"8062","PGEN_.00g162010",13,7,15,16,13,20,14,16
"8063","PGEN_.00g103370",0,8,9,19,20,27,4,4
"8064","PGEN_.00g243520",9,9,3,5,9,9,5,5
"8065","PGEN_.00g059510",30,21,14,42,30,31,29,11
"8066","PGEN_.00g065950",20,13,13,16,12,18,25,24
"8067","PGEN_.00g189320",6,4,5,3,4,6,0,1
"8068","PGEN_.00g031980",16,56,26,32,39,17,46,29
"8069","PGEN_.00g052630",11,2,11,15,10,18,13,2
