"X" "SG117" "SG137" "SG38" "SG97" "SG88" "SG87" "SG98" "SG37"
"406" "PGEN_.00g347400" 10 3 3 4 5 2 3 2
"407" "PGEN_.00g034480" 37 27 11 17 21 27 28 21
"408" "PGEN_.00g038100" 15 4 7 14 7 14 17 10
"409" "PGEN_.00g239700" 59 85 66 77 57 97 90 79
"410" "PGEN_.00g260270" 4 2 4 1 3 4 3 2
"411" "PGEN_.00g341800" 67 41 48 86 94 115 37 77
"412" "PGEN_.00g200160" 15 13 8 19 14 16 13 12
"413" "PGEN_.00g344830" 19 0 6 1 6 6 11 4
"414" "PGEN_.00g084050" 73 59 60 61 46 55 59 52
"415" "PGEN_.00g170460" 7 5 4 7 4 4 13 5
"416" "PGEN_.00g237620" 25 2 10 7 10 19 21 11
"417" "PGEN_.00g037820" 2 0 9 5 24 14 2 2
"418" "PGEN_.00g335550" 111 43 73 57 51 122 101 54
"419" "PGEN_.00g233530" 3 3 5 7 7 5 1 6
"420" "PGEN_.00g049760" 43 51 26 25 45 41 28 49
"421" "PGEN_.00g080990" 58 29 19 46 33 44 60 40
"422" "PGEN_.00g318990" 0 4 5 4 5 3 0 0
"423" "PGEN_.00g041510" 6 4 8 9 16 8 2 6
"424" "PGEN_.00g199910" 14 7 9 10 18 6 8 8
"425" "PGEN_.00g141290" 13 19 5 22 19 16 8 12
"426" "PGEN_.00g233280" 153 159 146 180 207 210 192 156
"427" "PGEN_.00g178270" 27 30 21 24 15 41 43 29
"428" "PGEN_.00g001310" 10 6 5 9 10 17 9 4
"429" "PGEN_.00g109510" 4 0 0 0 3 5 3 0
"430" "PGEN_.00g126460" 4 4 3 3 4 8 2 4
"431" "PGEN_.00g230390" 4 5 3 1 1 5 3 6
