"","SG117","SG137","SG38","SG97","SG88","SG87","SG98","SG37"
"PGEN_.00g156520",0,0,0,6,0,1,0,0
"PGEN_.00g321390",103,40,19,41,45,45,70,24
"PGEN_.00g210170",6,1,0,1,3,1,6,4
"PGEN_.00g076310",10,5,5,8,4,11,4,5
"PGEN_.00g039810",3,2,5,2,2,2,1,2
"PGEN_.00g344650",0,0,0,0,0,0,0,0
"PGEN_.00g105860",0,0,0,0,0,0,0,0
"PGEN_.00g021040",0,0,0,0,0,0,0,0
"PGEN_.00g286660",16,2,7,7,0,12,12,2
"PGEN_.00g185640",4,7,8,0,12,2,0,7
"PGEN_.00g253200",0,0,0,0,0,0,0,0
"PGEN_.00g226020",0,0,0,2,0,0,0,1
"PGEN_.00g067430",1,0,1,4,0,1,3,2
"PGEN_.00g173870",0,0,0,0,0,0,0,0
"PGEN_.00g217230",5,0,2,1,0,4,6,2
"PGEN_.00g034990",45,41,25,56,27,48,46,57
"PGEN_.00g110200",1,0,0,0,0,0,0,0
"PGEN_.00g045210",0,0,0,0,0,0,0,0
"PGEN_.00g030670",115,60,66,83,90,82,96,84
"PGEN_.00g044160",0,0,0,0,0,0,0,0
"PGEN_.00g174470",1,0,0,0,1,0,1,0
"PGEN_.00g250150",4,0,0,1,1,0,0,0
"PGEN_.00g020020",0,0,0,0,0,0,0,0
"PGEN_.00g102070",0,0,0,0,1,0,0,0
"PGEN_.00g139170",556,429,385,579,616,747,667,561
"PGEN_.00g106980",2,0,0,0,6,0,0,0
"PGEN_.00g225640",3,5,2,5,2,2,1,1
"PGEN_.00g286080",68,61,57,82,99,89,74,83
"PGEN_.00g221730",21,8,17,9,13,14,14,5
"PGEN_.00g067290",0,6,0,5,6,13,4,0
"PGEN_.00g173290",0,0,0,1,0,0,0,0
"PGEN_.00g032290",0,0,0,0,0,0,0,0
"PGEN_.00g312350",0,0,0,0,0,0,0,0
"PGEN_.00g151410",0,2,0,0,0,0,0,2
"PGEN_.00g180690",0,0,0,0,0,0,0,0
"PGEN_.00g066740",0,0,0,0,0,0,0,0
"PGEN_.00g097910",0,0,0,0,0,0,0,0
"PGEN_.00g321020",0,0,0,0,0,5,3,0
"PGEN_.00g178960",0,0,2,0,4,5,6,3
"PGEN_.00g326550",4,9,6,4,8,10,4,6
"PGEN_.00g235740",10,2,3,5,4,5,10,3
"PGEN_.00g186690",37,60,61,86,76,11,16,52
"PGEN_.00g345290",1,0,0,0,0,0,0,0
