"","SG117","SG137","SG38","SG97","SG88","SG87","SG98","SG37"
"PGEN_.00g256190",2,0,4,19,18,18,14,8
"PGEN_.00g229960",31,31,22,19,18,15,38,36
"PGEN_.00g171300",40,13,10,22,24,30,26,14
"PGEN_.00g082940",73,46,40,37,31,42,38,29
"PGEN_.00g006400",10,20,19,3,20,31,1,22
"PGEN_.00g170650",30,16,18,22,20,27,29,19
"PGEN_.00g131010",21,16,19,22,23,25,29,15
"PGEN_.00g254840",128,58,53,126,78,182,142,110
"PGEN_.00g199560",17,19,12,15,10,24,16,19
"PGEN_.00g222080",163,81,106,113,94,120,134,88
"PGEN_.00g002230",34,14,19,42,28,28,59,27
"PGEN_.00g046260",22,8,9,4,18,19,17,5
"PGEN_.00g038550",14,4,12,8,8,15,12,13
"PGEN_.00g333770",1,15,3,14,2,3,14,10
"PGEN_.00g125500",167,67,115,133,107,175,163,106
"PGEN_.00g303040",36,16,20,27,17,44,16,18
"PGEN_.00g038880",9,22,16,20,22,32,11,19
"PGEN_.00g041120",193,232,158,131,171,157,176,139
"PGEN_.00g087810",225,994,1329,499,901,547,763,572
"PGEN_.00g015320",29,37,28,18,44,52,32,41
"PGEN_.00g194130",59,65,56,94,87,86,108,71
"PGEN_.00g347910",11,12,8,10,10,16,11,13
"PGEN_.00g131900",11,21,7,21,12,32,26,20
"PGEN_.00g217170",26,36,24,39,32,46,30,39
"PGEN_.00g010660",29,33,9,0,21,2,28,0
"PGEN_.00g302470",0,12,0,13,12,4,5,11
"PGEN_.00g137500",238,76,60,75,98,20,63,104
"PGEN_.00g267370",30,18,7,16,18,23,15,17
"PGEN_.00g342980",598,407,553,675,549,838,706,560
"PGEN_.00g000270",13,8,5,17,14,10,11,8
"PGEN_.00g316060",17,4,3,11,12,7,10,31
"PGEN_.00g016670",81,32,65,54,62,64,90,40
"PGEN_.00g116750",22,19,21,34,18,27,20,28
"PGEN_.00g220620",12,1,9,12,10,13,9,0
"PGEN_.00g128480",58,65,46,53,67,75,84,77
