"","Cgigas_KEGG_IDs","Cgigas_PathwayID","Pathway_Description","Pathway_gene_list","Pathway_gene_count","gene_IDs","Gene_terms"
"65","crg:105337930","crg04144","Endocytosis","105317810/105318103/105318650/105320540/105326718/105327720/105328080/105333773/105334470/105335021/105337075/105337930/105339937/105339958/105342074/105342447/105342463/105347356/105333224",19,"105337930","dynamin-1"
"66","crg:105338951","crg04146","Peroxisome","105317035/105319409/105320492/105320624/105325181/105329358/105332999/105336995/105338951/105339902/105342001/105342925/105346656",13,"105338951","alkyldihydroxyacetonephosphate synthase, peroxisomal"
"67","crg:105339566","crg04142","Lysosome","105318146/105318218/105319353/105320723/105323285/105325272/105326821/105328336/105328916/105329422/105329527/105331028/105331657/105334333/105335927/105336087/105339958/105340763/105342463/105347059/105339566",21,"105339566","dipeptidyl peptidase 1"
"68","crg:105339902","crg04146","Peroxisome","105317035/105319409/105320492/105320624/105325181/105329358/105332999/105336995/105338951/105339902/105342001/105342925/105346656",13,"105339902","catalase"
"69","crg:105339937","crg04144","Endocytosis","105317810/105318103/105318650/105320540/105326718/105327720/105328080/105333773/105334470/105335021/105337075/105337930/105339937/105339958/105342074/105342447/105342463/105347356/105333224",19,"105339937","charged multivesicular body protein 3"
"70","crg:105339958","crg04142","Lysosome","105318146/105318218/105319353/105320723/105323285/105325272/105326821/105328336/105328916/105329422/105329527/105331028/105331657/105334333/105335927/105336087/105339958/105340763/105342463/105347059/105339566",21,"105339958","cation-independent mannose-6-phosphate receptor"
"71","crg:105339958","crg04144","Endocytosis","105317810/105318103/105318650/105320540/105326718/105327720/105328080/105333773/105334470/105335021/105337075/105337930/105339937/105339958/105342074/105342447/105342463/105347356/105333224",19,"105339958","cation-independent mannose-6-phosphate receptor"
"72","crg:105340590","crg00410","beta-Alanine metabolism","105319409/105331957/105332278/105340590/105346656/105326193",6,"105340590","dihydropyrimidinase"
"73","crg:105340763","crg04142","Lysosome","105318146/105318218/105319353/105320723/105323285/105325272/105326821/105328336/105328916/105329422/105329527/105331028/105331657/105334333/105335927/105336087/105339958/105340763/105342463/105347059/105339566",21,"105340763","beta-galactosidase"
"74","crg:105342001","crg04146","Peroxisome","105317035/105319409/105320492/105320624/105325181/105329358/105332999/105336995/105338951/105339902/105342001/105342925/105346656",13,"105342001","peroxisomal 2,4-dienoyl-CoA reductase"
