"","Row.names","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","SG15","SG93","SG102","SG2","SG10","SG9","SG118","SG81","SG5","SG101","SG65","SG107","SG109","SG3","SG66","SG12","SG27","SG6","SG91","SG82","SG11","SG16","SG131","SG79","SG1","SG64","SG4","SG13","SG14","SG46","SG108","SG78","SG7","SG80","SG8","up","down"
"475","PGEN_.00g227430",24.487403092525,-2.12329621356268,0.611650762385846,-3.4714192217801,0.000517715066622398,0.021096645268686,37,36,30,16,13,12,33,18,24,11,12,32,34,21,33,18,18,32,17,37,8,28,49,31,26,22,42,11,14,16,34,45,9,46,17,FALSE,TRUE
"476","PGEN_.00g127580",82.7443741551001,7.03129725227264,1.23514304388906,5.69269874210958,1.25046910439283e-08,2.97793458897638e-05,8,17,22,90,144,145,7,9,153,236,128,52,115,106,70,101,64,23,229,4,251,72,11,201,101,136,6,4,8,90,8,24,162,8,34,TRUE,FALSE
"477","PGEN_.00g117560",10.1366400490944,11.7369019394704,2.04592430580074,5.73672344875769,9.65256757170334e-09,2.97793458897638e-05,0,0,0,7,9,38,0,0,8,53,4,14,5,9,25,7,12,4,22,0,43,2,0,8,20,16,0,0,0,10,0,0,14,0,4,TRUE,FALSE
"478","PGEN_.00g298200",143.142963210891,3.18434120539167,1.03174969973909,3.08635050361239,0.0020262981082715,0.0497750208159644,83,134,28,162,599,100,226,73,119,176,231,99,108,42,101,249,74,62,86,49,600,120,32,110,88,44,139,53,117,129,78,85,392,52,161,TRUE,FALSE
"479","PGEN_.00g086190",9.40081066647179,4.19537299910687,1.1982240367614,3.50132602117236,0.00046294912961845,0.0200831551229004,2,9,3,14,21,11,9,5,3,4,7,6,7,4,3,28,8,5,9,5,32,4,1,3,10,13,7,5,2,7,5,5,50,1,16,TRUE,FALSE
"480","PGEN_.00g281730",15.3227701311106,4.37481038042328,1.25499500261927,3.48591856644268,0.00049045028059484,0.0207286173797986,8,21,0,12,28,35,14,7,6,9,19,18,9,6,5,20,13,5,8,3,63,14,5,9,15,3,8,0,5,31,9,8,64,11,41,TRUE,FALSE
"481","PGEN_.00g201060",34.1820417348053,3.99182731119797,1.06680073626545,3.74186778795462,0.000182657610260983,0.0118444411618955,10,18,6,46,98,42,32,7,17,26,40,24,35,19,20,99,30,16,27,12,40,24,2,48,35,15,25,19,20,40,16,14,209,15,44,TRUE,FALSE
"482","PGEN_.00g237580",58.1690577298632,4.99555038924678,1.2818509413104,3.89713829295938,9.73360424266295e-05,0.00772054609133004,17,34,12,54,73,152,66,14,15,38,47,55,29,8,32,83,49,9,53,19,236,25,4,37,114,12,57,12,40,36,22,34,387,15,53,TRUE,FALSE
"483","PGEN_.00g282190",14.4992507071614,5.62886329506605,1.21582610993773,4.62966146972641,3.66264026192761e-06,0.00098712760999103,5,4,2,18,25,45,8,5,7,17,13,11,6,3,4,38,19,4,18,4,34,7,2,6,19,5,5,2,5,16,9,11,89,3,26,TRUE,FALSE
"484","PGEN_.00g348440",15.3464978499562,4.43496829081922,1.19145889137921,3.7223007213328,0.000197415703065377,0.0123538580415736,9,15,1,17,32,14,21,4,4,14,28,7,12,2,5,45,9,3,15,6,43,10,6,18,8,3,8,1,8,29,11,11,91,8,30,TRUE,FALSE
"485","PGEN_.00g003860",12.4037212845413,4.46563351893076,1.2662016751839,3.52679482775299,0.000420622572341361,0.0188990826403018,2,3,0,14,19,47,15,10,4,2,5,30,4,5,4,24,5,3,6,7,54,9,8,7,21,5,9,6,9,5,7,18,37,7,13,TRUE,FALSE
"486","PGEN_.00g024970",38.7226530707657,4.48393739388323,1.33855932356945,3.34982343698164,0.000808630871925026,0.0279449279579206,19,22,3,59,115,41,47,7,11,20,31,24,13,11,10,127,41,17,17,9,113,17,0,17,28,11,28,16,22,47,28,23,260,14,72,TRUE,FALSE
"487","PGEN_.00g268580",40.7848339670385,2.74191796387203,0.798772110405041,3.43266612361023,0.000597677607427858,0.0227298775055234,23,40,26,46,92,28,30,19,18,63,51,29,31,22,44,108,29,18,33,35,127,43,17,38,45,36,42,18,31,42,19,17,112,26,32,TRUE,FALSE
"488","PGEN_.00g070740",5.12416046984131,5.83964452647687,1.84412014107527,3.16662911293398,0.00154216868886406,0.0421154093912809,4,0,2,2,24,5,3,4,5,7,0,3,0,0,4,6,2,3,3,0,27,0,6,9,6,3,0,2,2,0,0,2,26,3,9,TRUE,FALSE
"489","PGEN_.00g059790",15.618102362787,5.29906285785599,1.58404903925109,3.34526439936562,0.000822041656136476,0.0282007844183679,4,12,0,19,43,2,16,8,3,8,36,3,11,5,2,43,12,2,15,5,31,8,0,14,5,2,5,0,10,25,9,4,149,5,35,TRUE,FALSE
"490","PGEN_.00g216730",20.7625472317232,6.23224272284191,1.42948380106059,4.35978548215655,1.30190006925201e-05,0.00225174466144379,1,1,4,49,47,46,4,0,6,2,28,32,17,7,17,36,9,9,33,14,19,35,4,7,3,10,2,10,13,12,17,15,206,1,9,TRUE,FALSE
"491","PGEN_.00g127500",372.906684053405,1.07494318163674,0.307642246435592,3.49413383269449,0.000475602534274867,0.0204230288252583,471,488,285,458,561,391,405,223,382,415,579,424,233,280,417,602,188,271,532,303,459,411,340,284,338,399,403,250,354,475,320,314,519,278,554,TRUE,FALSE
"492","PGEN_.00g047760",126.278601974189,-0.853387936177642,0.267170139233586,-3.19417408931141,0.00140231524348648,0.0395091215546088,136,174,116,158,110,103,142,133,166,74,122,152,109,119,83,133,92,129,159,135,104,188,157,91,135,157,146,92,140,142,164,92,104,147,163,FALSE,FALSE
