"","Row.names","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","SG25","SG60","SG90","SG128","SG89","SG40","SG43","SG44","SG77","SG19","SG57","SG20","SG62","SG41","SG21","SG129","SG61","SG45","SG58","SG26","SG22","SG140","SG63","SG100","SG17","SG138","SG59","SG42","SG139","SG99","SG130","SG24","SG18","SG127","SG23","SG39","up","down"
"138","PGEN_.00g344510",33.3580298123604,-1.81972316141939,0.451894836360661,-4.02687310188039,5.65235177017864e-05,0.00947108062611134,39,81,68,46,55,37,16,33,73,34,67,53,13,31,16,46,22,24,64,46,23,4,13,16,33,25,17,9,26,53,7,12,43,36,3,36,FALSE,TRUE
"139","PGEN_.00g273350",15.874558788708,1.99563168296812,0.572873853135861,3.48354471415341,0.000494820456732521,0.0344709427699396,8,7,23,2,12,6,9,87,18,5,2,18,28,23,7,5,13,11,0,16,12,11,12,6,21,5,10,23,30,17,25,38,8,30,53,7,TRUE,FALSE
"140","PGEN_.00g156660",18.3261133905899,-3.93183385773723,0.824397970304216,-4.76933956580014,1.84830876054848e-06,0.00172949891386331,16,12,50,22,236,11,6,25,68,5,18,9,10,15,9,6,17,5,25,11,7,2,6,11,13,5,4,0,2,39,0,6,9,7,6,3,FALSE,TRUE
"141","PGEN_.00g035190",16.4570121600226,-2.23954173031812,0.593484336431448,-3.77354816773131,0.000160942128649703,0.0176978989688554,19,35,36,9,54,20,3,7,37,18,46,47,10,12,11,30,8,6,26,14,18,0,3,3,10,11,4,6,16,19,8,4,24,6,2,11,FALSE,TRUE
"142","PGEN_.00g340250",430.616267178893,3.05353022622175,0.91068860831769,3.35299047153178,0.000799434586973649,0.0448497598989027,196,561,1457,85,349,124,125,801,152,20,47,61,3658,144,153,84,155,1152,56,94,112,26,151,28,72,12,1172,1655,82,26,946,159,44,10,152,66,TRUE,FALSE
"143","PGEN_.00g260530",9.71937933685919,1.32372951117732,0.398196596209133,3.32431146770047,0.00088637141547969,0.0464879994390047,5,4,5,8,4,5,14,7,13,6,4,11,5,27,2,24,6,7,11,8,3,10,21,12,16,7,5,8,28,8,15,29,10,10,13,8,TRUE,FALSE
"144","PGEN_.00g318780",18.3895917107154,-0.976333405025615,0.273659606662791,-3.56769278788256,0.000360138391814733,0.0276810958405856,18,31,24,35,27,20,19,23,13,23,29,31,11,23,5,22,11,15,24,16,10,16,17,18,27,16,11,13,17,18,18,12,25,13,9,22,FALSE,TRUE
"145","PGEN_.00g305960",11.1569871711103,-1.2375343485051,0.311851771562326,-3.96834156915401,7.2374548631056e-05,0.011121553983446,12,14,7,14,29,22,12,10,8,20,21,21,8,10,12,9,11,7,8,11,4,6,11,10,12,4,7,10,17,7,5,10,15,15,4,8,FALSE,TRUE
"146","PGEN_.00g008130",253.934423750529,-0.575059584649796,0.160786590699216,-3.57653944989455,0.000348172793737334,0.0276197146125479,309,217,249,298,341,349,402,301,285,360,373,239,193,369,99,290,323,242,226,293,102,266,350,285,305,269,64,270,316,355,236,256,250,364,174,137,FALSE,TRUE
"147","PGEN_.00g062570",9.06740145551961,-2.03422423738528,0.523989486377057,-3.88218521606266,0.000103521978663516,0.0131410172309536,11,9,12,9,57,9,9,14,11,6,16,17,2,4,9,9,1,7,11,5,9,4,5,4,3,17,4,5,6,11,2,6,9,6,4,3,FALSE,TRUE
"148","PGEN_.00g057120",17.7257281332609,-2.14021514587612,0.552811137672486,-3.87151234847966,0.000108162176746513,0.0133262164232689,35,18,22,15,65,42,15,12,19,45,26,25,4,16,0,22,13,13,20,32,6,3,1,13,9,28,11,10,7,27,5,6,48,14,3,11,FALSE,TRUE
"149","PGEN_.00g031490",21.8494273071881,-2.00289551797506,0.571924078376678,-3.50203041575026,0.000461726905329421,0.0330461955835996,46,56,15,21,13,41,8,18,33,27,49,41,3,7,5,33,15,28,48,24,24,5,13,6,5,22,6,7,14,57,5,6,35,25,7,25,FALSE,TRUE
