"","Row.names","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","SG119","SG86","SG85","SG132","SG75","SG54","SG73","SG47","SG34","SG126","SG68","SG112","SG133","SG52","SG123","SG115","SG122","SG33","SG120","SG111","SG142","SG96","SG113","SG30","SG51","SG83","SG125","SG35","SG84","SG49","SG116","SG136","SG70","SG31","SG121","SG74","SG134","SG56","SG76","SG55","SG48","SG53","SG106","SG104","SG32","SG124","SG29","SG110","SG105","SG72","SG94","SG95","SG135","SG71","SG114","SG69","SG141","SG36","SG67","SG28","SG50","SG103","up","down"
"128","PGEN_.00g098070",21.4738727549402,-6.78528151184801,1.64250578279792,-4.13105486928007,3.61102369988823e-05,0.00635988500407796,12,18,25,5,9,61,45,7,4,34,18,5,5,55,24,9,19,41,4,13,13,4,36,8,25,25,22,5,9,16,6,7,10,9,9,13,10,11,9,79,30,58,5,8,11,120,13,18,33,28,9,12,4,15,65,9,21,44,17,14,34,25,FALSE,TRUE
"129","PGEN_.00g133710",15.8438555100067,6.44956024709477,1.87236757217179,3.44460155310948,0.000571901755503112,0.0372747238103327,42,30,42,31,23,5,9,22,1,0,44,43,23,2,3,1,1,9,14,16,4,9,19,3,3,3,5,17,36,85,25,2,8,22,2,5,40,28,16,9,72,7,24,14,33,19,13,1,16,13,21,60,9,10,3,7,5,15,5,15,5,10,TRUE,FALSE
"130","PGEN_.00g293880",141.399156480074,6.08844839794498,1.69135955382414,3.59973630927798,0.000318540039253424,0.0253906543450854,176,219,415,131,82,90,82,60,21,122,213,94,1211,46,48,55,24,62,67,121,29,37,62,234,9,58,29,82,190,400,131,37,50,100,99,28,278,63,60,249,331,199,126,107,101,435,418,128,61,96,113,697,53,44,48,66,90,100,48,106,34,285,TRUE,FALSE
"131","PGEN_.00g161800",67.5530439227506,-7.31919221113764,2.13320155646912,-3.43108328837542,0.000601175990015791,0.0383681490299839,11,36,57,14,44,51,64,16,6,391,25,19,179,58,30,140,28,41,17,17,17,17,48,146,60,18,18,18,14,43,21,26,25,18,44,21,9,46,18,246,12,523,26,31,13,174,175,173,20,19,13,124,11,6,55,26,341,71,21,20,23,116,FALSE,TRUE
"132","PGEN_.00g299010",14.0149233553339,7.83755341173864,2.13880423236265,3.66445572397283,0.00024786511147696,0.022501542058022,36,58,44,24,8,5,5,12,5,0,49,23,16,2,6,0,4,1,10,14,2,9,5,3,2,7,0,10,45,119,15,6,7,26,8,7,68,8,11,6,88,3,24,17,13,2,5,0,12,9,40,5,13,2,6,1,0,21,18,13,6,5,TRUE,FALSE
"133","PGEN_.00g146370",12.6950145486519,5.43841320183282,1.61736458539404,3.36251532335107,0.000772358393602779,0.0448842954154285,20,29,36,41,7,3,11,19,4,9,25,14,21,5,18,0,2,7,7,21,4,6,11,2,1,6,2,12,27,101,12,9,2,14,6,5,35,5,5,15,36,7,14,9,9,12,20,15,20,7,14,15,20,7,9,8,5,21,5,8,2,16,TRUE,FALSE
"134","PGEN_.00g116150",6.17166089660663,6.58343113995011,1.60263348195881,4.10788318980055,3.99301950826145e-05,0.00679535691724975,4,14,17,8,3,2,8,2,5,9,12,7,15,0,3,0,0,3,11,6,1,3,2,5,0,7,0,8,22,15,3,3,7,9,2,2,19,9,4,11,23,9,6,6,4,15,7,3,0,2,5,20,6,6,5,8,5,5,5,2,4,3,TRUE,FALSE
"135","PGEN_.00g003510",25.2105285932264,-3.0342760740819,0.810949383235342,-3.74163435697606,0.000182827389644475,0.0189063456829452,16,62,74,26,21,16,28,25,13,39,29,29,27,22,15,14,28,36,7,21,18,16,12,18,20,20,43,22,19,36,33,25,18,30,50,15,13,61,22,34,29,37,37,37,17,50,5,36,37,31,16,18,18,13,19,10,48,83,16,27,31,13,FALSE,TRUE
"136","PGEN_.00g124990",4.09110378474082,4.50587427518367,1.35635661937681,3.32204245610121,0.00089361095671159,0.0499617462385148,3,7,4,9,3,1,2,1,3,2,4,4,9,0,7,1,5,6,9,7,3,5,3,1,0,4,6,4,2,9,8,2,5,3,6,2,7,5,4,1,5,6,4,7,8,3,2,5,4,2,3,3,0,5,6,13,8,5,5,6,1,4,TRUE,FALSE
"137","PGEN_.00g117980",25.307649107542,9.08121678787273,2.38993329556833,3.79977834725015,0.000144825564046984,0.0161179922553045,31,69,53,29,9,3,6,7,7,12,45,17,122,3,4,5,0,2,11,15,11,15,9,6,0,8,3,31,14,65,17,0,8,10,6,2,25,8,9,30,47,6,27,6,9,50,64,20,7,7,15,356,22,7,4,8,11,44,6,22,0,136,TRUE,FALSE
