"","MEturquoise","MEblack","MEpink","MEred","MEblue","MEbrown","MEgreen","MEyellow"
"SG91",0.0401357141205333,-0.0315149374485716,-0.115072871238464,-0.0433501830871673,-0.0184599791576287,-0.0214627182418617,-0.0281121453167231,0.0689091104490996
"SG82",0.0457114815703599,0.0624071544488297,0.092049009216478,-0.0936344437637537,-0.0324350174517182,-0.0195968234753627,0.101520614144446,-0.0289635764753009
"SG16",-0.0367625214552868,-0.00716245098942497,-0.0351991979456298,-0.027993450620936,0.0330061781231429,0.0547007955288665,0.00274365651485726,0.0277697335075424
"SG131",-0.0122816431841245,0.0201276593708721,-0.136264366794489,-0.156987170444355,-0.104134960648881,0.0865723692107204,0.256672143305528,-0.144254664807379
"SG79",0.0397618543679757,-0.0166314753665071,0.0153486846204991,0.0823241807703102,-0.142007238173042,-0.114515498217836,0.185988928038073,0.0869371811825723
"SG1",-0.169990386718881,-0.0158305369296904,-0.0224205972986692,-0.0846045204574413,0.195195917208337,0.179393125074226,-0.0299890519124717,0.114683124077605
"SG64",-0.105183484384269,-0.146573330903191,-0.0339428353965561,-0.060115414911014,0.209936030084247,0.136427137036923,-0.0545681563173187,-0.0352764717615928
"SG4",0.0843634247405565,0.0074043471492302,0.0102641365304397,0.0314197306494733,-0.0506712611813684,-0.083130917799159,-0.0218588099939838,0.0486685809680874
"SG14",0.0265351131611497,-0.0090622299843434,-0.0696522633936128,-0.089916360637131,-0.00446951722173666,-0.00807921416138821,-0.0554696076025932,0.0488220605936511
"SG46",0.0661324565358357,-0.0629039594928729,-0.000352081008196685,0.00779604968428081,-0.0459188235588381,-0.100092404326393,-0.0299124053848316,0.123484088540172
"SG108",-0.0202214788502618,0.0133565322072703,-0.0967687176656708,-0.129688004071308,-0.0400562925887159,0.0887712135068764,0.088753111794983,0.00519099180210203
"SG78",0.034913264075343,-0.0858515822835747,-0.135458738640229,-0.0882157972738655,-0.123666679742395,-0.0317022423184377,0.186807203456691,0.0161735944489841
"SG80",-0.0160334096042887,0.0224864198405784,-0.14021254532279,-0.207027319931295,-0.0656446064556835,0.0991492844401381,0.209619412901962,-0.0552345232527702
"SG8",0.0471756736057761,-0.0212761398955364,-0.0467621197642137,-0.0371740988115796,-0.0394881841903498,-0.0349012710986636,-0.00403465646186194,0.12666051815191
"SG119",0.0338091070396826,-0.0216122589990804,0.0038387087999498,-0.0197372062692359,-0.109187070807432,-0.0638198610516779,0.155582050391303,0.0414455958131273
"SG86",-0.00360811274569518,-0.0530917627330464,-0.0785809466649501,0.048679196479587,-0.101545827221537,-0.0627655010964288,0.0565085413942712,0.0740328082046156
"SG85",0.0189892719343007,-0.053278719692986,-0.0877988715365363,-0.0660816938682039,-0.00195495720959157,0.0480978931357387,-0.0594091249600251,0.0463304450571827
"SG132",-0.0135045310744507,0.0585635112076029,0.167195166429426,-0.0705877905525588,-0.00856887687197381,-0.0487850782706741,0.0772291172354846,0.0374390850965213
"SG75",-0.0244023551905403,0.0202721156506135,-0.0178817847875979,-0.0284382265084802,-0.0108165673962996,0.00195495401035616,-0.0241111067224742,0.0297969508379812
"SG73",0.037997987744566,0.00234562895656857,-0.0394830434566041,-0.00791655946849971,0.0141899168176519,0.132423435536964,-0.0679173400964777,-0.1223855078823
"SG47",0.104622481342307,0.085990978714038,0.134685097698953,0.0585220152173427,-0.0360506502421762,-0.0800377465122182,-0.0756862185433174,-0.0573930406446443
"SG34",0.0619374476344286,0.0294016469399877,0.0287699358726448,0.0560705860315255,-0.0984913014326048,-0.0723632075228236,-0.00701721171437394,-0.113409849223078
"SG68",0.0424497236823497,0.0685519741114303,-0.00334488487715526,0.0476228686135424,-0.065346329397947,-0.0499619784625997,-0.0355854385625389,0.0174767301968669
"SG112",0.0905932210323748,-0.0525762091845149,-0.0176530747459757,0.0289007174928138,-0.122708819451669,-0.111042976568471,0.0321547582080321,-0.00106130373576131
